"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.docindex","Input.date","Input.userid","Input.location","Input.bio","Input.asker","Input.posttext","Answer.AnswererBullied","Answer.AskerBullied","Answer.ContainCyberbullying","Answer.CyberbullyingWords","Answer.NooneBullied","Answer.OtherInfo","Answer.Severity","Answer.ThirdBullied","Approve","Reject"
"2NVG67D1X3V0TON355TJI1M805KBIQ","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Apr 26 15:52:35 GMT 2012","1","Department:Tagging","3600","604800","Thu May 03 15:52:35 GMT 2012","","","2MU6DG67D1X3942BHXFK6JE2Z549GP","A1Z4YGP7EJMWEP","Approved","Thu Apr 26 15:54:17 GMT 2012","Thu Apr 26 15:54:22 GMT 2012","Thu May 03 08:54:22 PDT 2012","Thu Apr 26 09:20:25 PDT 2012","","","5","0% (0/0)","0% (0/0)","0% (0/0)","14545","20100822","userid","location","bio","asker","Q: not really<br>A: Whats your first name","","","No","","Yes","","0",""
"2YWCWA6X3YOCQJN36QBXTTIOT3XONN","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Apr 26 15:52:35 GMT 2012","1","Department:Tagging","3600","604800","Thu May 03 15:52:35 GMT 2012","","","206OZFYQS1CS7QB6EC4S8IC2RWSMJ5","A3SWVCOJPJM7KQ","Approved","Thu Apr 26 15:54:53 GMT 2012","Thu Apr 26 15:55:24 GMT 2012","Thu May 03 08:55:24 PDT 2012","Thu Apr 26 09:20:25 PDT 2012","","","31","0% (0/0)","0% (0/0)","0% (0/0)","14591","20100822","userid","location","bio","asker","Q: slutt<br>A: Haha h0w","Yes","","Yes","slutt","","","2",""
"2P546UXFCD45BG1K4YJNXKIOEEGTVV","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Apr 26 15:52:35 GMT 2012","1","Department:Tagging","3600","604800","Thu May 03 15:52:35 GMT 2012","","","2S0IUB2YU98JVWGCSOC0JBJAVMPL96","AUGRDUEDEUXUS","Approved","Thu Apr 26 15:53:20 GMT 2012","Thu Apr 26 15:53:29 GMT 2012","Thu May 03 08:53:29 PDT 2012","Thu Apr 26 09:20:25 PDT 2012","","","9","0% (0/0)","0% (0/0)","0% (0/0)","14596","20100822","userid","location","bio","asker","Q: i like your hair better curly too its not greasyy when its curly<br>A: Its not greasy when its straight either Its that shine stuff You even tried it Dont even try Diana","","","No","","Yes","","0",""
"2L0XKO2L92HEQ0XXEOPOGCF1NA5EF2","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Apr 26 15:52:35 GMT 2012","1","Department:Tagging","3600","604800","Thu May 03 15:52:35 GMT 2012","","","2JQ8TNKIMZSMJO289NFM4PGWS1XBYZ","AP8JZ153QNOYR","Approved","Thu Apr 26 15:54:41 GMT 2012","Thu Apr 26 15:55:25 GMT 2012","Thu May 03 08:55:25 PDT 2012","Thu Apr 26 09:20:25 PDT 2012","","","44","0% (0/0)","0% (0/0)","0% (0/0)","14789","20100822","userid","location","bio","asker","Q: olivia gotta big head<br>A: I know i know","","","Yes","""gotta big head""","","","2","Yes"
"2FNCOW0LGRZ3MGE62XXVRUZXOC18ZL","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Apr 26 15:52:35 GMT 2012","1","Department:Tagging","3600","604800","Thu May 03 15:52:35 GMT 2012","","","23EOFXRDS4ICFIL44IAFQ11BFGAXUW","AUGRDUEDEUXUS","Approved","Thu Apr 26 15:59:04 GMT 2012","Thu Apr 26 15:59:23 GMT 2012","Thu May 03 08:59:23 PDT 2012","Thu Apr 26 09:20:25 PDT 2012","","","19","0% (0/0)","0% (0/0)","0% (0/0)","14922","20100822","userid","location","bio","asker","Q: you and emily shouldnt make fun of people so much you haaaave no clue how many ppeople make fun of you and how much fun it is :DDDD<br>A: What Who did me emily make fun of And oh yeah i bet it is :DDDD","","Yes","Yes","you haaaave no clue how many ppeople make fun of you and how much fun it is","","","8",""
"2IBHV8ER9Y8T1O5DGDD5OFHTD9MR44","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Apr 26 15:52:35 GMT 2012","1","Department:Tagging","3600","604800","Thu May 03 15:52:35 GMT 2012","","","2TAA0RYNJ92NXO9RMWDJXUHZ90V942","AUGRDUEDEUXUS","Approved","Thu Apr 26 15:53:13 GMT 2012","Thu Apr 26 15:53:19 GMT 2012","Thu May 03 08:53:19 PDT 2012","Thu Apr 26 09:20:26 PDT 2012","","","6","0% (0/0)","0% (0/0)","0% (0/0)","15137","20100822","userid","location","bio","asker","Q: averie devon not really good friends<br>A: Yeah they really are","","","No","","Yes","","0",""
"2N9LPHIT3HVWOZ79NNEJU218DK9JBA","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Apr 26 15:52:35 GMT 2012","1","Department:Tagging","3600","604800","Thu May 03 15:52:35 GMT 2012","","","2NE25L8I9NZWKL1QN954UW7UL4NTJC","A3L62WT9ZLHU7V","Approved","Thu Apr 26 15:54:36 GMT 2012","Thu Apr 26 15:55:12 GMT 2012","Thu May 03 08:55:12 PDT 2012","Thu Apr 26 09:20:26 PDT 2012","","","36","0% (0/0)","0% (0/0)","0% (0/0)","15620","20100822","userid","location","bio","asker","Q: ew just ew<br>A: thanks","","","No","","Yes","ew just ew could be considered a form of bullying, but since we do not know what context it's being used in, you can't really say if it is or not.","0",""
"2DABRI8IUB2Y8DVAYDKLF3L1QWJH52","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Apr 26 15:52:35 GMT 2012","1","Department:Tagging","3600","604800","Thu May 03 15:52:35 GMT 2012","","","2KTQP6AUC26DUAU4IIUV4FK1PMZ926","AUGRDUEDEUXUS","Approved","Thu Apr 26 15:53:06 GMT 2012","Thu Apr 26 15:53:12 GMT 2012","Thu May 03 08:53:12 PDT 2012","Thu Apr 26 09:20:26 PDT 2012","","","6","0% (0/0)","0% (0/0)","0% (0/0)","15628","20100822","userid","location","bio","asker","Q: 3some<br>A: eh","","","No","","Yes","","0",""
"26DH8MZ9O9Z6Y0RQ3VQHLRRMQB090J","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Apr 26 15:52:35 GMT 2012","1","Department:Tagging","3600","604800","Thu May 03 15:52:35 GMT 2012","","","2VW2J1LY58B7GB9RZ16KLD17BD76R7","AUGRDUEDEUXUS","Approved","Thu Apr 26 15:54:13 GMT 2012","Thu Apr 26 15:54:23 GMT 2012","Thu May 03 08:54:23 PDT 2012","Thu Apr 26 09:20:26 PDT 2012","","","10","0% (0/0)","0% (0/0)","0% (0/0)","15883","20100822","userid","location","bio","asker","Q: do you even have friends<br>A: no","","Yes","Yes","do you even have friends","","","8",""
"2Y7CGJ2D21O3A9K8H4GPWI2L9ZP6CY","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Apr 26 15:52:36 GMT 2012","1","Department:Tagging","3600","604800","Thu May 03 15:52:36 GMT 2012","","","2XEHGYQ4J3NAPAY6306O2YIUERYBOO","A1K1XS3ESXS5DK","Approved","Thu Apr 26 15:53:24 GMT 2012","Thu Apr 26 15:54:22 GMT 2012","Thu May 03 08:54:22 PDT 2012","Thu Apr 26 09:20:26 PDT 2012","","","58","0% (0/0)","0% (0/0)","0% (0/0)","16179","20100822","userid","location","bio","asker","Q: i need help im hacked and i need u to tell them to leave me alone<br>A: how can I help u","","Yes","Yes","hacked","","","8",""
"24SB6BFMFFOYCMGSA46DKESDBBWKXG","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Apr 26 15:52:36 GMT 2012","1","Department:Tagging","3600","604800","Thu May 03 15:52:36 GMT 2012","","","22RVXX2Q45UUYUBPX89W5NS91EFR93","A3SWVCOJPJM7KQ","Approved","Thu Apr 26 15:54:21 GMT 2012","Thu Apr 26 15:54:50 GMT 2012","Thu May 03 08:54:50 PDT 2012","Thu Apr 26 09:20:26 PDT 2012","","","29","0% (0/0)","0% (0/0)","0% (0/0)","16725","20100822","userid","location","bio","asker","Q: wat are you talking about ahaha :b<br>A: ahah ur cocky nigguh :D not me ahah [:","","","No","","","","0",""
